hid,unicode
1,65
2,66
3,67
4,68
5,69
6,70
7,71
8,72
9,73
10,74
11,75
12,76
13,77
14,78
15,79
16,80
17,81
18,82
19,83
20,84
21,85
22,86
23,87
24,88
25,89
26,90
27,913
28,914
29,915
30,916
31,917
32,918
33,919
34,920
35,921
36,922
37,923
38,924
39,925
40,926
41,927
42,928
43,929
44,931
45,932
46,933
47,934
48,935
49,936
50,937
197,8203
198,8194
199,8195
200,48
201,49
202,50
203,51
204,52
205,53
206,54
207,55
208,56
209,57
210,46
211,44
212,58
213,59
214,33
215,63
216,8242
217,8243
218,176
219,36
220,47
221,40
222,41
223,124
224,45
225,43
226,61
227,215
228,42
229,183
230,8216
231,8217
232,8594
233,35
234,38
235,8977
501,65
502,66
503,67
504,68
505,69
506,70
507,71
508,72
509,73
510,74
511,75
512,76
513,77
514,78
515,79
516,80
517,81
518,82
519,83
520,84
521,85
522,86
523,87
524,88
525,89
526,90
527,913
528,914
529,915
530,916
531,917
532,918
533,919
534,920
535,921
536,922
537,923
538,924
539,925
540,926
541,927
542,928
543,929
544,931
545,932
546,933
547,934
548,935
549,936
550,937
551,65
552,66
553,67
554,68
555,69
556,70
557,71
558,72
559,73
560,74
561,75
562,76
563,77
564,78
565,79
566,80
567,81
568,82
569,83
570,84
571,85
572,86
573,87
574,88
575,89
576,90
583,8711
601,97
602,98
603,99
604,100
605,101
606,102
607,103
608,104
609,105
610,106
611,107
612,108
613,109
614,110
615,111
616,112
617,113
618,114
619,115
620,116
621,117
622,118
623,119
624,120
625,121
626,122
627,945
628,946
629,947
630,948
631,949
632,950
633,951
634,952
635,953
636,954
637,955
638,956
639,957
640,958
641,959
642,960
643,961
644,963
645,964
646,965
647,966
648,967
649,968
650,969
651,97
652,98
653,99
654,100
655,101
656,102
657,103
658,104
659,105
660,106
661,107
662,108
663,109
664,110
665,111
666,112
667,113
668,114
669,115
670,116
671,117
672,118
673,119
674,120
675,121
676,122
677,65533
683,65533
684,949
685,952
686,981
687,986
697,8203
698,8194
699,8195
700,48
701,49
702,50
703,51
704,52
705,53
706,54
707,55
708,56
709,57
710,46
711,44
712,58
713,59
714,33
715,63
716,8242
717,8243
718,176
719,36
720,47
721,40
722,41
723,124
724,45
725,43
726,61
727,215
728,42
729,183
730,8216
731,8217
732,8594
733,35
734,38
735,8977
737,8741
738,10178
739,8736
740,11819
741,9828
742,9825
743,9826
744,9831
745,9752
746,9884
750,65533
751,65533
752,65533
753,65533
754,65533
755,65533
756,65533
757,65533
758,65533
759,65533
760,65533
761,65533
762,65533
763,65533
764,65533
765,65533
766,65533
767,65533
768,65533
796,65533
797,65533
798,65533
799,65533
800,65533
801,65533
802,65533
803,65533
804,65533
805,65533
806,65533
807,65533
808,65533
809,65533
810,65533
811,65533
812,65533
813,65533
814,65533
815,65533
816,65533
817,65533
818,65533
819,65533
820,65533
821,65533
822,65533
823,65533
824,65533
825,65533
826,65533
827,65533
828,65533
829,65533
830,65533
831,65533
832,65533
833,65533
834,65533
840,65533
841,65533
842,65533
843,65533
844,65533
845,65533
846,65533
847,65533
850,65533
851,65533
852,65533
853,65533
854,65533
855,65533
856,65533
857,65533
860,65533
861,65533
862,65533
863,65533
864,65533
865,65533
866,65533
867,65533
868,65533
869,65533
870,65533
871,65533
872,65533
873,65533
874,65533
899,65533
900,65533
901,65533
902,65533
903,65533
904,65533
905,65533
906,65533
907,65533
908,65533
909,65533
997,65533
998,65533
999,65533
1001,65
1002,66
1003,67
1004,68
1005,69
1006,70
1007,71
1008,72
1009,73
1010,74
1011,75
1012,76
1013,77
1014,78
1015,79
1016,80
1017,81
1018,82
1019,83
1020,84
1021,85
1022,86
1023,87
1024,88
1025,89
1026,90
1027,913
1028,914
1029,915
1030,916
1031,917
1032,918
1033,919
1034,920
1035,921
1036,922
1037,923
1038,924
1039,925
1040,926
1041,927
1042,928
1043,929
1044,931
1045,932
1046,933
1047,934
1048,935
1049,936
1050,937
1051,65
1052,66
1053,67
1054,68
1055,69
1056,70
1057,71
1058,72
1059,73
1060,74
1061,75
1062,76
1063,77
1064,78
1065,79
1066,80
1067,81
1068,82
1069,83
1070,84
1071,85
1072,86
1073,87
1074,88
1075,89
1076,90
1101,97
1102,98
1103,99
1104,100
1105,101
1106,102
1107,103
1108,104
1109,105
1110,106
1111,107
1112,108
1113,109
1114,110
1115,111
1116,112
1117,113
1118,114
1119,115
1120,116
1121,117
1122,118
1123,119
1124,120
1125,121
1126,122
1127,945
1128,946
1129,947
1130,948
1131,949
1132,950
1133,951
1134,952
1135,953
1136,954
1137,955
1138,956
1139,957
1140,958
1141,959
1142,960
1143,961
1144,963
1145,964
1146,965
1147,966
1148,967
1149,968
1150,969
1151,97
1152,98
1153,99
1154,100
1155,101
1156,102
1157,103
1158,104
1159,105
1160,106
1161,107
1162,108
1163,109
1164,110
1165,111
1166,112
1167,113
1168,114
1169,115
1170,116
1171,117
1172,118
1173,119
1174,120
1175,121
1176,122
1177,64256
1178,64257
1179,64258
1180,64259
1181,64260
1182,65533
1184,949
1185,952
1186,981
1187,986
1191,64256
1192,64257
1193,64258
1194,64259
1195,64260
1196,65533
1197,8203
1198,8194
1199,8195
1200,48
1201,49
1202,50
1203,51
1204,52
1205,53
1206,54
1207,55
1208,56
1209,57
1210,46
1211,44
1212,58
1213,59
